entrada,preco_entrada,saida,preco_saida,pnl,retorno
2025-06-24,105408.5779,2025-07-02,105635.2560,6.16,0.000148
2025-07-03,108893.3194,2025-07-26,117557.0921,3219.52,0.077405
2025-07-28,119499.7200,2025-07-29,118014.8630,-645.25,-0.014399
2025-08-08,117536.8390,2025-08-15,118239.3508,175.21,0.003967
2025-08-23,117002.2719,2025-08-24,115366.3880,-707.34,-0.015952
2025-09-03,111289.6170,2025-09-05,110664.7400,-331.70,-0.007602
2025-09-08,111193.1688,2025-09-22,115178.3820,1462.40,0.033771
2025-09-29,112227.0855,2025-10-11,112713.6150,104.24,0.002329
2025-10-24,110128.9369,2025-10-30,109969.1879,-154.61,-0.003446
2025-11-11,106065.0060,2025-11-12,103010.6689,-1374.44,-0.030737
2025-11-27,90527.3411,2025-12-02,86240.2583,-2134.99,-0.049260
2025-12-03,91329.5419,2025-12-06,89286.2345,-1002.39,-0.024326
2025-12-08,90439.2970,2025-12-13,90222.9660,-176.30,-0.004385
2025-12-20,88187.0715,2025-12-24,87443.7563,-416.69,-0.010410
2025-12-28,87916.0360,2025-12-30,87188.4840,-406.29,-0.010257
2025-12-31,88540.7482,2026-01-01,87594.9806,-496.27,-0.012658
2026-01-02,88891.4235,2026-01-10,90590.6820,661.13,0.017080
2026-01-12,91053.8041,2026-01-19,93627.1630,1031.77,0.026207
2026-02-15,69856.7109,2026-02-16,68803.5810,-688.58,-0.017043
2026-02-26,68023.9950,2026-02-28,65840.2634,-1351.67,-0.034036
2026-03-01,67002.5845,2026-03-02,65738.3144,-799.03,-0.020829
2026-03-03,68866.6161,2026-03-07,68082.5417,-501.85,-0.013361
2026-03-10,68457.4116,2026-03-19,71217.4735,1417.15,0.038239
2026-03-24,70935.4500,2026-03-27,68792.7864,-1236.79,-0.032143
2026-04-01,68312.0389,2026-04-03,66864.5510,-861.93,-0.023145
2026-04-06,69064.5150,2026-04-13,70711.2267,792.96,0.021797
2026-04-14,74455.4091,2026-04-20,73771.0960,-415.23,-0.011171
2026-04-21,75878.3202,2026-04-29,76304.0289,132.37,0.003601
2026-05-02,78273.5172,2026-05-13,80452.6536,951.22,0.025786
2026-05-15,81125.5425,2026-05-16,79077.3415,-1029.05,-0.027195
2026-06-14,64486.6272,2026-06-18,64469.6491,-83.22,-0.002261
2026-06-21,64332.2500,2026-06-22,63281.4434,-672.09,-0.018299
2026-07-03,61589.8795,2026-07-09,62252.2583,314.95,0.008735
2026-07-10,63260.2143,2026-07-14,62300.9339,-623.09,-0.017132
2026-07-15,65069.9187,2026-07-25,64118.4248,-593.10,-0.016591
2026-07-27,65439.9036,2026-07-28,63728.0201,-988.02,-0.028105
2026-07-31,64815.0913,2026-08-01,62859.6545,-1096.98,-0.032107
2026-08-05,64122.7453,2026-08-11,63942.4128,-158.89,-0.004805
2026-08-18,64564.7662,2026-09-03,77301.0302,6413.27,0.194871
2026-09-04,81300.7300,2026-09-06,80301.2293,-561.04,-0.014267
